coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,paper_V_mean,paper_V_std,paper_L_mean,paper_L_std,flash,agtron
48.557,67.989,112.033,54.366,39.471,26.192,30.454,26.509,132.517,2.921,131.651,4.099,31.009,23.432,200.299,2.745,201.64,2.73,1,Agtron 25
11.755,26.213,134.839,54.879,45.698,23.542,34.528,25.243,133.782,2.332,133.743,3.353,34.665,22.225,200.299,2.745,201.64,2.73,1,Agtron 25
50.65,68.555,113.273,53.622,38.29,25.796,29.301,26.269,132.478,2.881,131.332,3.939,29.98,23.329,200.299,2.745,201.64,2.73,1,Agtron 25
10.815,23.812,139.445,56.083,46.605,25.302,34.932,27.149,134.054,2.449,133.991,3.706,35.057,23.987,200.299,2.745,201.64,2.73,1,Agtron 25
55.133,70.448,107.363,56.937,40.061,27.267,31.697,28.211,132.29,3.009,131.251,4.059,32.066,25.021,200.299,2.745,201.64,2.73,1,Agtron 25
13.925,31.627,133.733,54.352,47.316,24.289,35.905,25.926,134.003,2.459,134.094,3.788,35.884,22.816,200.299,2.745,201.64,2.73,1,Agtron 25
54.594,70.598,108.468,56.946,39.074,26.709,30.579,27.599,132.266,2.932,131.197,4.121,31.114,24.442,200.299,2.745,201.64,2.73,1,Agtron 25
12.593,27.861,131.071,55.043,48.878,25.281,37.722,26.988,133.929,2.381,134.137,3.734,37.467,23.802,200.299,2.745,201.64,2.73,1,Agtron 25
56.703,71.513,108.053,56.716,37.241,25.217,28.899,25.931,132.143,2.857,130.949,3.797,29.609,22.978,200.299,2.745,201.64,2.73,1,Agtron 25
11.457,26.49,131.716,54.33,47.344,23.912,36.042,25.937,133.989,2.263,133.728,3.325,36.067,22.791,200.299,2.745,201.64,2.73,1,Agtron 25
50.547,68.482,107.861,54.492,40.478,26.689,31.948,27.564,132.377,2.852,131.425,3.97,32.316,24.403,200.299,2.745,201.64,2.73,1,Agtron 25
10.766,22.973,135.283,54.189,47.598,24.083,35.977,25.952,134.128,2.351,134.019,3.423,35.977,22.814,200.299,2.745,201.64,2.73,1,Agtron 25
62.772,72.89,106.589,55.424,37.104,25.946,28.793,26.296,132.125,2.927,130.836,4.05,29.491,23.334,200.299,2.745,201.64,2.73,1,Agtron 25
13.648,32.576,134.39,55.995,47.055,24.573,35.549,26.588,134.107,2.474,133.74,3.555,35.61,23.427,200.299,2.745,201.64,2.73,1,Agtron 25
52.527,69.532,110.737,53.989,40.82,27.189,31.966,27.79,132.597,2.937,131.518,4.11,32.304,24.626,200.299,2.745,201.64,2.73,1,Agtron 25
12.017,26.968,133.846,54.474,48.674,24.962,37.142,26.7,134.161,2.386,134.071,3.58,36.972,23.504,200.299,2.745,201.64,2.73,1,Agtron 25
59.963,72.102,105.129,56.089,38.829,27.054,30.647,27.832,132.141,2.955,130.95,3.963,31.149,24.677,200.299,2.745,201.64,2.73,1,Agtron 25
12.121,28.1,133.853,54.914,46.38,24.352,35.111,25.837,133.87,2.352,133.743,3.498,35.19,22.704,200.299,2.745,201.64,2.73,1,Agtron 25
56.107,71.666,112.276,55.817,37.043,25.424,28.131,25.81,132.408,3.063,131.207,4.071,28.978,22.912,200.299,2.745,201.64,2.73,1,Agtron 25
12.805,29.449,133.718,55.941,46.021,23.965,34.717,25.94,133.902,2.395,133.543,3.375,34.908,22.817,200.299,2.745,201.64,2.73,1,Agtron 25
9.843,6.465,160.625,42.652,59.518,23.8,43.353,24.939,136.925,2.193,139.28,4.896,42.213,21.638,195.606,2.924,194.445,2.972,1,Agtron 35
10.321,8.141,167.255,44.515,61.782,23.977,44.801,25.759,137.476,2.196,140.138,4.688,43.387,22.432,195.606,2.924,194.445,2.972,1,Agtron 35
9.588,6.721,161.04,43.542,57.156,21.854,41.146,23.257,136.814,2.118,138.731,4.631,40.296,20.077,195.606,2.924,194.445,2.972,1,Agtron 35
10.242,6.335,168.927,43.997,61.042,23.734,44.035,25.028,137.421,2.282,140.299,5.073,42.665,21.686,195.606,2.924,194.445,2.972,1,Agtron 35
9.764,7.064,160.544,43.989,58.273,23.007,42.331,24.373,136.784,2.246,138.894,4.616,41.316,21.169,195.606,2.924,194.445,2.972,1,Agtron 35
10.317,7.548,169.924,43.753,60.17,23.258,43.137,24.921,137.425,2.217,140.126,4.832,41.926,21.622,195.606,2.924,194.445,2.972,1,Agtron 35
10.735,14.923,143.6,43.573,58.41,23.473,44.42,24.645,135.663,1.939,137.733,4.636,43.265,21.277,195.606,2.924,194.445,2.972,1,Agtron 35
11.027,11.884,154.271,44.562,60.74,23.287,45.726,24.802,136.219,1.999,139.153,4.604,44.254,21.443,195.606,2.924,194.445,2.972,1,Agtron 35
10.588,6.106,167.695,43.198,63.702,23.436,46.584,25.087,137.576,2.204,140.967,4.74,44.839,21.805,195.606,2.924,194.445,2.972,1,Agtron 35
10.666,4.646,165.222,42.024,58.307,23.355,42.652,24.474,136.314,2.185,139.75,4.999,41.505,21.125,195.606,2.924,194.445,2.972,1,Agtron 35
11.009,9.133,170.562,44.646,61.519,24.358,44.622,26.261,137.281,2.253,140.612,4.966,43.209,22.947,195.606,2.924,194.445,2.972,1,Agtron 35
10.493,6.925,158.761,42.657,61.543,23.609,45.767,24.934,136.685,2.172,139.791,4.795,44.235,21.625,200.379,2.721,201.6,2.734,1,Agtron 35
10.907,7.476,170.993,43.561,61.819,23.229,44.845,24.982,137.351,2.262,140.873,4.892,43.317,21.7,200.379,2.721,201.6,2.734,1,Agtron 35
10.104,6.617,161.399,43.382,58.157,22.752,42.388,24.276,136.606,2.192,139.088,4.495,41.353,21.078,200.379,2.721,201.6,2.734,1,Agtron 35
10.756,4.714,167.273,43.12,64.141,23.437,47.256,25.145,137.371,2.185,141.166,4.88,45.395,21.831,200.379,2.721,201.6,2.734,1,Agtron 35
10.362,7.276,159.742,43.206,59.943,22.401,44.129,24.067,136.714,2.138,139.427,4.433,42.838,20.833,200.379,2.721,201.6,2.734,1,Agtron 35
10.867,7.142,163.811,43.507,63.337,23.476,46.93,25.258,137.091,2.175,140.656,4.678,45.175,21.996,200.379,2.721,201.6,2.734,1,Agtron 35
10.347,5.599,161.056,43.638,59.254,22.907,43.579,24.42,136.535,2.138,139.383,4.509,42.369,21.131,200.379,2.721,201.6,2.734,1,Agtron 35
11.146,8.644,163.362,44.656,66.086,25.493,49.453,27.382,137.265,2.264,141.084,5.009,47.41,23.975,200.379,2.721,201.6,2.734,1,Agtron 35
10.442,7.407,158.875,43.293,60.027,23.29,44.395,24.731,136.563,2.147,139.389,4.588,43.085,21.461,200.379,2.721,201.6,2.734,1,Agtron 35
11.05,8.145,170.155,43.728,62.852,23.303,45.779,25.129,137.458,2.2,141.107,4.977,44.13,21.871,200.379,2.721,201.6,2.734,1,Agtron 35
10.567,6.784,162.489,42.544,61.089,23.876,45.053,25.173,136.769,2.167,139.962,4.777,43.599,21.839,200.379,2.721,201.6,2.734,1,Agtron 35
11.014,5.782,167.493,42.377,66.08,24.683,48.963,26.08,137.505,2.156,141.669,5.009,46.876,22.703,200.379,2.721,201.6,2.734,1,Agtron 35
10.557,6.131,156.885,42.664,60.822,22.721,45.384,24.174,136.465,2.1,139.579,4.508,43.925,20.919,200.379,2.721,201.6,2.734,1,Agtron 35
11.026,6.557,165.616,43.525,65.198,23.455,48.395,25.287,137.369,2.169,141.315,4.784,46.392,22.005,200.379,2.721,201.6,2.734,1,Agtron 35
10.53,7.241,158.737,43.128,61.986,24.378,46.151,25.856,136.717,2.143,139.816,4.833,44.621,22.507,200.379,2.721,201.6,2.734,1,Agtron 35
11.847,6.172,182.079,36.327,69.767,24.916,50.619,25.627,138.645,2.133,144.595,5.805,48.008,22.218,197.065,2.583,196.69,2.814,1,Agtron 45
11.826,6.326,181.281,37.113,69.253,24.259,50.31,25.236,138.551,2.076,144.394,5.605,47.734,21.953,197.065,2.583,196.69,2.814,1,Agtron 45
12.092,7.46,181.592,37.64,69.238,24.6,50.372,25.499,138.465,2.188,144.528,5.929,47.789,22.16,197.065,2.583,196.69,2.814,1,Agtron 45
11.883,5.759,179.451,36.298,71.916,26.36,52.788,26.886,138.622,2.07,144.861,5.892,49.933,23.439,197.065,2.583,196.69,2.814,1,Agtron 45
12.151,7.83,180.055,36.759,70.281,25.417,51.41,26.13,138.458,2.184,144.687,5.985,48.709,22.772,197.065,2.583,196.69,2.814,1,Agtron 45
11.912,5.287,181.094,35.436,71.0,24.613,51.809,25.302,138.694,2.039,144.967,5.674,49.005,21.957,197.065,2.583,196.69,2.814,1,Agtron 45
11.575,6.621,181.719,36.7,66.739,24.658,47.967,25.501,138.395,2.2,143.713,5.779,45.774,22.17,197.065,2.583,196.69,2.814,1,Agtron 45
11.741,4.399,182.44,35.056,71.585,25.966,51.997,26.332,138.941,2.127,145.156,5.956,49.183,22.936,197.065,2.583,196.69,2.814,1,Agtron 45
11.632,5.748,180.355,36.352,68.486,24.005,49.574,24.978,138.573,2.093,144.07,5.451,47.148,21.695,197.065,2.583,196.69,2.814,1,Agtron 45
12.193,3.956,169.222,39.207,70.155,26.145,53.197,27.018,137.127,2.0,143.612,5.628,50.452,23.545,197.065,2.583,196.69,2.814,1,Agtron 45
12.154,3.614,165.329,39.489,70.747,26.551,54.165,27.336,136.923,2.01,143.359,5.629,51.344,23.859,197.065,2.583,196.69,2.814,1,Agtron 45
12.162,5.072,168.564,37.909,68.627,24.808,51.802,25.678,137.082,2.002,143.266,5.391,49.229,22.294,197.065,2.583,196.69,2.814,1,Agtron 45
12.909,3.526,182.199,34.258,78.633,23.473,58.819,24.39,139.086,2.106,147.718,4.999,54.838,21.465,197.345,2.282,196.669,2.542,1,Agtron 55
12.736,5.813,184.328,35.203,77.329,25.261,57.267,26.002,139.23,2.32,147.33,5.648,53.538,22.871,197.345,2.282,196.669,2.542,1,Agtron 55
13.157,2.639,171.698,36.009,79.948,25.29,61.727,26.193,137.947,2.065,146.854,5.008,57.63,23.13,197.345,2.282,196.669,2.542,1,Agtron 55
12.825,4.733,171.822,36.458,76.248,25.42,58.322,26.256,137.764,2.025,145.759,5.397,54.716,22.999,197.345,2.282,196.669,2.542,1,Agtron 55
